Reason(s),P/F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve shutdown,P
 Reserve shutdown,P
 Reserve shutdown,P
 Reserve shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 reserve shutdown,P
Reserve Shutdown ,P
 reserve shutdown,P
 Reserve Shutdown,P
 Reserve Shutdown,P
Reserve Shutdown ,P
 Reserve Shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown . NO RRAS SUPPORT,P
Reserve Shutdown . NO RRAS SUPPORT,P
Reserve Shutdown . NO RRAS SUPPORT,P
Reserve Shutdown . NO RRAS SUPPORT,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserve Sutdown,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve shutdown ,P
Reserve shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown RSD,P
Reserve Shutdown RSD,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 RSD till 05:00hrs of 26.12.2022. Under Over-hauling till 05:00hrs of 31.12.2022,F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 RESERVE SHUTDOWN,P
 RESERVE SHUTDOWN,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown reserve shutdown,P
Reserve Shutdown reserve shutdown,P
Reserve Shutdown reserve shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown RSD,P
Reserve Shutdown . RESERVE SHUTDOWN,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 forced outage from 03.07.2023(low primary oil pressure ),F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown TAKEN UNDER RSD,P
Reserve Shutdown TAKEN UNDER RSD,P
Reserve Shutdown ,P
Reserve Shutdown TAKEN UNDER RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RESERVE SHUTDOWN,P
Reserve Shutdown As per NRLDC Instruction.,P
Reserve Shutdown As per NRLDC Instruction.,P
Reserve Shutdown As per NRLDC Instruction.,P
Reserve Shutdown As per NRLDC Instruction.,P
Reserve Shutdown GT-1 desynch at 23:45,P
Reserve Shutdown GT-2 desynch at 23:47,P
Reserve Shutdown GT-3 desynch at 23:50,P
Reserve Shutdown GT-4 desynch at 23:56,P
Reserve Shutdown TAKEN UNDER RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shut down ,F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Over hauling GT#1 OVERHAULING,P
Over hauling Overhauling,P
Tripped on High voltage . ST#1 Tripped due to Line Voltage fluctuation.,F
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown unit under reserve shutdown,P
Reserve Shutdown . Unit under forced outage since 20:54Hrs dated 08.08.2023 due to problem in its main CB,P
Reserve Shutdown ,P
 Tripped on NG EHC feedback error,F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown GT-2 desynch at 22:50hrs,P
Reserve Shutdown GT-3 desynch at 22:51hrs.,P
Reserve Shutdown GT-4 desynch at 22:52hrs.,P
Reserve Shutdown GT-1 desynch at 22:57hrs.,P
Reserve Shutdown GT-2 desynch at 22:06hrs.,P
Reserve Shutdown GT-1 desynch at 22:06hrs,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Generator Fault TRIPPED ON EXITATION FAULT (DC supply failure),F
Generator Fault TRIPPED ON EXITATION FAULT (DC supply failure),F
Generator Fault TRIPPED ON EXITATION FAULT (DC supply failure),F
Generator Fault TRIPPED ON EXITATION FAULT (DC supply failure),F
Generator Fault TRIPPED ON EXITATION FAULT (DC supply failure),F
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Turbine Problem GT-2 taken under s/d at 23:30hrs,F
Reserve Shutdown as per grid requirment.,P
Reserve Shutdown as per grid requirment.,P
Reserve Shutdown as per grid requirment.,P
Reserve Shutdown as per grid requirment.,P
Reserve Shutdown as per grid requirment.,P
Reserve Shutdown as per grid requirment.,P
Reserve Shutdown RESERVE SHUTDOWN,P
Reserve Shutdown RESERVE SHUTDOWN,P
Reserve Shutdown . As per NRLDC Communication.,P
Reserve Shutdown . As per NRLDC mail communication.,P
Reserve Shutdown GT#1 TAKEN ON RSD AT 23:49 HRS.(18/08/2023),P
Reserve Shutdown GT#4 TAKEN RSD AT 00:11 HRS.,P
GT trip . Tripped on governor fault.,F
Reserve Shutdown ,P
Reserve Shutdown GT-1 desynch at 23:45,P
Reserve Shutdown GT-1 desynch at 23:54,P
Reserve Shutdown GT-2 desynch at 00:02,P
Reserve Shutdown ST-2 desynch at 00:08,P
Reserve Shutdown GT-3 desynch at 00:18,P
Reserve Shutdown GT-1 desynch at 23:55,P
Reserve Shutdown GT-2 taken rsd at 23:55,P
Reserve Shutdown GT-3 taken RSD at 23:56,P
Reserve Shutdown GT-4 taen RSD at 23:56hrs.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown under force outage from 14:15hrs to 20:45 hrs on 05.09.23 due to WHRB-4 leakage ,P
Reserve Shutdown ,P
Reserve Shutdown taken in RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER NRLDC REQ,P
Reserve Shutdown AS PER NRLDC REQ,P
Reserve Shutdown AS PER NRLDC REQ,P
"Hunting in control valve . GT-4 TRIPPED ON EHC FAILURE. After attending the fault, Unit taken under RSD from 21:15Hrs.",F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER GRID REQ,P
Reserve Shutdown AS PER GRID REQ,P
Reserve Shutdown AS PER GRID REQ,P
 Boiler tube leakage observed in WHRB#3,F
Reserve Shutdown AS PER GRID REQ,P
Reserve Shutdown as per grid req.,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown GT#1TAKEN  RSD AT 20:59 HRS.,P
Reserve Shutdown GT#4 TAKEN RSD AT 20:59 HRS.,P
Reserve Shutdown GT#2 TAKEN RSD AT 20:59 HRS.,P
Reserve Shutdown GT#3 TAKEN RSD AT 20:59 HRS.,P
Reserve Shutdown GT#1 TAKEN  RSD AT 22:58 HRS.,P
Reserve Shutdown GT#2 TAKEN  RSD AT 22:58 HRS.,P
Reserve Shutdown GT#3 TAKEN  RSD AT 22:58 HRS.,P
Reserve Shutdown GT#4 TAKEN  RSD AT 22:59 HRS.,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown AS PER NRLDC MAIL RECEIVED,P
Reserve Shutdown AS PER NRLDC MAIL RECEIVED,P
Reserve Shutdown AS PER NRLDC MAIL RECEIVED,P
Reserve Shutdown AS PER NRLDC MAIL RECEIVED,P
Reserve Shutdown GT#1 TAKEN RSD AT 22:23 HRS.,P
Reserve Shutdown GT#4 TAKEN RSD AT 22:26 HRS.,P
Reserve Shutdown GT#2 TAKEN RSD AT 22:28 HRS.,P
Reserve Shutdown GT#3 TAKEN RSD AT 22:29 HRS.,P
Reserve Shutdown TAKEN INTO RSD AS PER GRID INSTRUCTIONS,P
Reserve Shutdown UNIT TAKEN INTO RSD AS PER GRID INSTRUCTION,P
Reserve Shutdown as per grid req.,P
Reserve Shutdown AS PER GRID REQ.,P
Reserve Shutdown unit #3 taken under RSD  as per NRLDC,P
Reserve Shutdown unit #2 taken under RSD  as per NRLDC,P
 WHRB-4 SUSPECTED LKG HENCE GT-4 TAKEN IN SHUTDOWN.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown UNIT TAKEN IN RSD- AS PER NLDC/NRLDC COMMUNICATION RECEIVED ,P
Reserve Shutdown UNIT TAKEN IN RSD- AS PER NLDC/NRLDC COMMUNICATION RECEIVED ,P
Reserve Shutdown UNIT TAKEN IN RSD- AS PER NLDC/NRLDC COMMUNICATION RECEIVED ,P
Reserve Shutdown UNIT TAKEN IN RSD- AS PER NLDC/NRLDC COMMUNICATION RECEIVED ,P
Reserve Shutdown UNIT TAKEN IN RSD- AS PER NLDC/NRLDC COMMUNICATION RECEIVED ,P
Reserve Shutdown UNIT TAKEN IN RSD- AS PER NLDC/NRLDC COMMUNICATION RECEIVED ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown GT#3 TAKEN  RSD AT 21:07 HRS.,P
Reserve Shutdown GT#1 TAKEN  RSD AT 21:07 HRS.,P
Reserve Shutdown GT#4 TAKEN  RSD AT 21:08 HRS.,P
Reserve Shutdown GT#2 TAKEN  RSD AT 21:08 HRS.,P
Reserve Shutdown AS PER GRID communication,P
Reserve Shutdown AS PER GRID communication,P
Reserve Shutdown AS PER GRID communication.,P
Reserve Shutdown AS PER GRID communication,P
Reserve Shutdown reserve shutdown,P
Reserve Shutdown reserve shut down,P
Reserve Shutdown reserved shut down,P
Reserve Shutdown UNITS TAKEN UNDER RSD AS PER NRLDC COMMUNICATION,P
Reserve Shutdown UNITS TAKEN UNDER RSD AS PER NRLDC COMMUNICATION,P
Reserve Shutdown UNITS TAKEN UNDER RSD AS PER NRLDC COMMUNICATION,P
Reserve Shutdown UNITS TAKEN UNDER RSD AS PER NRLDC COMMUNICATION,P
Reserve Shutdown GT#1 TAKEN RSD AT 19:28 HRS.,P
Reserve Shutdown GT#4 TAKEN RSD AT 19:29 HRS.,P
Reserve Shutdown GT#3 TAKEN RSD AT 19:30 HRS.,P
Reserve Shutdown GT#2 TAKEN RSD AT 19:30 HRS.,P
Reserve Shutdown GT#1 taken OFF BAR as per NRLDC,P
Reserve Shutdown GT#4 taken OFF BAR as per NRLDC,P
Reserve Shutdown GT#3 taken OFF BAR as per NRLDC,P
Reserve Shutdown GT#2 taken OFF BAR as per NRLDC,P
Reserve Shutdown As Per NRLDC communication,P
Reserve Shutdown As Per NRLDC communication,P
Reserve Shutdown As Per NRLDC communication,P
Reserve Shutdown As Per NRLDC communication,P
Reserve Shutdown RESERVE SHUT DOWN TAKEN AS PER nrldc MAIL,P
Reserve Shutdown RESERVE SHUT DOWN TAKEN AS PER nrldc MAIL,P
Reserve Shutdown GT-2 taken off bar as per NRLDC mail,P
Reserve Shutdown GT-3 taken off bar as per NRLDC mail,P
Reserve Shutdown GT#3 TAKEN RSD AT 19:21 HRS.,P
Reserve Shutdown GT#1 TAKEN RSD AT 19:25 HRS.,P
Reserve Shutdown GT#2 TAKEN RSD AT 19:26 HRS.,P
Reserve Shutdown GT#4 TAKEN RSD AT 19:31 HRS.,P
Reserve Shutdown UNIT DE SYNC AS PER NRLDC COMMUNICATION,P
Reserve Shutdown UNIT DESYNC AS PER NRLDC COMMUNICATION,P
Reserve Shutdown UNIT DE-SYNC AS PER NRLDC COMMUNICATION,P
Reserve Shutdown UNIT DE SYNC AS PER NRLDC COMMUNICATION,P
Reserve Shutdown as per grid requirement,P
Reserve Shutdown as per grid requirement,P
Reserve Shutdown as per grid requirement,P
Reserve Shutdown as per grid requirement,P
Reserve Shutdown As per TRAS SG ,P
Reserve Shutdown As per TRAS SG ,P
Reserve Shutdown As per TRAS SG ,P
Reserve Shutdown As per TRAS SG ,P
Reserve Shutdown AS PER TRAS DAM SCH,P
Reserve Shutdown AS PER TRAS DAM SCH,P
Reserve Shutdown AS PER TRAS DAM SCH,P
Reserve Shutdown AS PER TRAS DAM SCH,P
Reserve Shutdown GT#1 deSync as per NRLDC,P
Reserve Shutdown GT#2  deSync as per NRLDC,P
Reserve Shutdown GT#3 DESYNCH. AT 18:32 HRS.,P
Reserve Shutdown GT#1 DESYNCH. AT 18:33 HRS.,P
Reserve Shutdown GT#4 DESYNCH. AT 18:34 HRS.,P
Reserve Shutdown GT#2 DESYNCH. AT 18:334 HRS.,P
Reserve Shutdown as per NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown as per NRLDC,P
Reserve Shutdown GT-2 taken out of service,P
Reserve Shutdown GT-3 taken out of service,P
Reserve Shutdown GT-4 taken out of service,P
Reserve Shutdown GT-1 taken in RSD,P
Reserve Shutdown UNIT DE SYNCED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown UNIT DE SYNCED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown UNIT SYNCED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown UNIT DE SYNCED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown as per NRLDC,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown AS PER GRID REQUIREMENT,P
Reserve Shutdown As per NRLDC req,P
Reserve Shutdown As per NRLDC req,P
Reserve Shutdown As per NRLDC req,P
Reserve Shutdown As per NRLDC req,P
Reserve Shutdown AS PER NLDC/NRLDC REQUIREMENT,P
Reserve Shutdown AS PER NLDC/NRLDC REQUIREMENT,P
Reserve Shutdown AS PER NLDC/NRLDC REQUIREMENT,P
Reserve Shutdown AS PER NLDC/NRLDC REQUIREMENT,P
Reserve Shutdown ,P
Reserve Shutdown GT#4 TAKEN RSD AT 18:39 HRS.,P
Reserve Shutdown GT#2 TAKEN RSD AT 18:40 HRS.,P
Reserve Shutdown Reserve Shutdown,P
Reserve Shutdown Reserve Shutdown,P
Reserve Shutdown Reserve Shutdown,P
Reserve Shutdown Reserve Shutdown,P
Reserve Shutdown AS PER GRID REQ.,P
Reserve Shutdown AS PER GRID REQ.,P
Reserve Shutdown AS PER GRID REQ.,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown TAKEN INTO RSD AS PER GRID INSTRUCTIONS,P
Reserve Shutdown TAKEN INTO RSD AS PER GRID INSTRUCTIONS,P
Reserve Shutdown TAKEN INTO RSD AS PER GRID INSTRUCTIONS,P
Reserve Shutdown TAKEN INTO RSD AS PER GRID INSTRUCTIONS,P
Reserve Shutdown UNIT DESYNCED ASPER GRID INSTRUCTIONS,P
Reserve Shutdown UNIT DESYNCED AS PER GRID INSTRUCTIONS,P
Reserve Shutdown UNIT DESYNCED AS PER GRID INSTRUCTIONS,P
Reserve Shutdown UNIT DESYNCED AS PER GRID INSTRUCTIONS,P
Reserve Shutdown as per NRLDC,P
Reserve Shutdown as per NRLDC,P
Reserve Shutdown as per NRLDC,P
Reserve Shutdown as per NRLDC,P
Reserve Shutdown AS REQUESTED BY NRLDC,P
Reserve Shutdown AS REQUESTED BY NRLDC,P
Reserve Shutdown AS REQUESTED BY NRLDC,P
Reserve Shutdown AS REQUESTED BY NRLDC,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown As per grid requirement,P
Reserve Shutdown RSD AS PER NRLDC,P
Reserve Shutdown RSD AS PER NRLDC,P
Reserve Shutdown RSD AS PER NRLDC,P
Reserve Shutdown RSD AS PER NRLDC,P
Reserve Shutdown as per grid requirement,P
Reserve Shutdown as per grid requirement,P
